0.000000000000000000e+00 -1.486787776076195847e-02 8.373295689220409954e-02 6.820295521195106694e-03 2.788037318321347907e-02 -3.201022148828032345e-03 -4.140177213633932686e-03 4.046530891668523311e-03 9.141740096688299923e-04 2.545171371155903147e-04
1.000000000000000056e-01 -1.494367550166686154e-01 -5.313915624573778418e-02 -5.655277235794829715e-02 -2.018273065907788023e-03 -1.372038837251971302e-02 -5.420312273572167570e-03 -7.230903847499789427e-03 -8.357544166085272008e-03 -9.737887777249275983e-03
2.000000000000000111e-01 1.497574222371353958e-01 -8.705475882991563219e-02 -5.593038992152318811e-02 -4.144512145889646393e-02 -1.195465248806361347e-02 -2.649611423150062539e-02 -1.360575949665576191e-02 -1.593903953459061343e-02 -1.542166633163381644e-02
3.000000000000000444e-01 -6.055395222892471715e-03 -1.108366175488584016e-01 3.820209784456476965e-03 -3.008517959362205785e-02 -1.686309289361067817e-02 -1.902176844441183512e-02 -2.102294154215731889e-02 -2.061139211417895717e-02 -1.893349954518888309e-02
4.000000000000000222e-01 -1.507127438506531414e-01 1.792679035897972242e-02 -1.983093556563268398e-02 -1.582928059419998895e-02 -1.100331470103073708e-02 -2.264815568975198090e-02 -2.072126935678179557e-02 -2.441111306894365798e-02 -2.326159360935468878e-02
5.000000000000000000e-01 3.685360737490388228e-02 5.372979741580659330e-02 -1.599502752942887768e-03 -2.151705688511790920e-02 -1.769866222492155750e-02 -1.814591596922215597e-02 -2.135317366298279673e-02 -2.174421895585222989e-02 -1.983322164555902448e-02
6.000000000000000888e-01 -5.333910558551341330e-02 2.807260025137172516e-02 -2.968464699595539658e-02 -2.840823312844650839e-02 -2.393757314798536720e-02 -1.544157500346744934e-02 -1.840377460151983863e-02 -1.704398533890616463e-02 -1.781448287201307240e-02
7.000000000000000666e-01 -9.943760287570893586e-03 -3.407170261016043145e-02 2.616238613586724729e-03 -1.796197212698807943e-02 -1.559381380527091049e-02 -9.837439805206505544e-03 -1.602684783656066481e-02 -1.296016140622861107e-02 -1.078989028940950320e-02
8.000000000000000444e-01 7.383379678739555863e-02 -1.483965207917190554e-01 -2.916743024704769593e-02 1.354414188099154967e-02 2.902990112492321272e-03 -4.545451848668844233e-03 -5.472709879312341770e-03 -2.353402705680893159e-03 -3.780834302078909474e-03
9.000000000000000222e-01 -6.571939189287907823e-02 -5.203844498136134950e-02 2.991285460298603177e-02 -2.915952098727148806e-02 1.831046368900820023e-02 1.797928114909818492e-04 2.951515770040581254e-03 6.185384561196904420e-03 4.267229203416486767e-03
